Id,Title,Poster,Desc,Active,Views,Link
V01,A Russian Brigade Walked Into Ukrainian Hell,https://i.ytimg.com/vi/7i9z6uJ1qpw/sddefault.jpg,Intense frontline footage showing a Russian brigade encountering fierce Ukrainian resistance during a major battle.,true,0,https://www.youtube.com/watch?v=7i9z6uJ1qpw
V02,Insane Tactics: Ukrainian Troops Storm and Capture Russian Positions,https://i.ytimg.com/vi/jEy4ocH-lpo/sddefault.jpg,Footage of Ukrainian troops employing advanced tactics to storm and capture strategic Russian-held positions.,true,0,https://www.youtube.com/watch?v=jEy4ocH-lpo
V03,Everything Is Wrong in This Attack,https://i.ytimg.com/vi/PsfLuvLZdPo/sddefault.jpg,Detailed analysis and footage revealing critical mistakes in a recent assault on the battlefield.,true,2,https://www.youtube.com/watch?v=PsfLuvLZdPo
V04,Ukraine War Shifts to East as List of Russian Atrocities Grows,https://i.ytimg.com/vi/9YY-FeEn6kY/sddefault.jpg,Coverage of shifting battles in the eastern front and an increasing number of reported Russian war crimes.,true,0,https://www.youtube.com/watch?v=9YY-FeEn6kY
V05,Bradleys and Javelins! Ukrainians Storm Russian Trenches,https://i.ytimg.com/vi/PhfOWfrLJZc/sddefault.jpg,Ukrainian forces utilize Bradley fighting vehicles and Javelin missiles to penetrate and capture Russian trenches.,true,2,https://www.youtube.com/watch?v=PhfOWfrLJZc
V06,Russian Tanks Try to Break Through a Ukrainian Defense Line,https://i.ytimg.com/vi/5_MTpOYORZ0/sddefault.jpg,"Russian armored units attempt to break Ukrainian defensive lines with tanks, facing heavy resistance.",true,0,https://www.youtube.com/watch?v=5_MTpOYORZ0
V07,Drone warning: Ukraine's tactics are misleading Western militaries,https://i.ytimg.com/vi/CjVrhSmsQlc/sddefault.jpg,"Analysis of Ukraine's drone tactics that might mislead Western military assessments, with frontline footage.",true,1,https://www.youtube.com/watch?v=CjVrhSmsQlc
V08,Rapid Drone Recon Over Active Battlefront,https://i.ytimg.com/vi/DlVV0nE0FCQ/sddefault.jpg,Fast-paced drone footage capturing reconnaissance operations over contested battle zones.,true,0,https://www.youtube.com/watch?v=DlVV0nE0FCQ
V09,Tank Battles and Explosions on Ukraine Frontline,https://i.ytimg.com/vi/b_oxWkVrkqI/sddefault.jpg,Heavy tank engagements and large explosions mark this brutal frontline footage from Ukraine.,true,1,https://www.youtube.com/watch?v=b_oxWkVrkqI
V10,Ukrainian Drone Strike Destroys Russian Vehicle Convoy,https://i.ytimg.com/vi/UCaK8y2zM3w/sddefault.jpg,"Ukrainian drone strikes target a moving Russian vehicle convoy, causing significant destruction.",true,0,https://www.youtube.com/watch?v=UCaK8y2zM3w
V11,Destroyed Russian Ammunition Depot Seen From Drone,https://i.ytimg.com/vi/bHDycP6wzOo/sddefault.jpg,Drone footage shows aftermath of a strike on a Russian ammunition depot with widespread fire and destruction.,true,2,https://www.youtube.com/watch?v=bHDycP6wzOo
V12,Electronic Warfare Intercepts Russian Drone,https://i.ytimg.com/vi/KP4KqfwOlv4/sddefault.jpg,Electronic warfare operations successfully intercept and neutralize an enemy drone on the frontline.,true,0,https://www.youtube.com/watch?v=KP4KqfwOlv4
V13,Ukrainian Forces Capture Russian Soldiers,https://i.ytimg.com/vi/OeLCPJjGpN0/sddefault.jpg,Footage capturing the moment Ukrainian troops take Russian soldiers prisoner during an engagement.,true,0,https://www.youtube.com/watch?v=OeLCPJjGpN0
V14,Russian Black Panther Tanks Attack For The First Time,https://i.ytimg.com/vi/sDFDNxn2gU0/sddefault.jpg,Drone footage and frontline action featuring Russian Black Panther tanks attacking for the first time.,true,0,https://www.youtube.com/watch?v=sDFDNxn2gU0
V15,"Ukrainians are surrounded, but Bradley has arrived",https://i.ytimg.com/vi/pBcrD2ASsXs/sddefault.jpg,Ukrainian troops hold the line after heavy artillery fire; Bradley supports extraction of the wounded and a counterattack.,true,0,https://www.youtube.com/watch?v=pBcrD2ASsXs
V16,Leopard broke right into the trenches,https://i.ytimg.com/vi/sn8gAGD7cYY/sddefault.jpg,"This is how Leopards and Bradleys turn a massive Russian armored attack into a full-scale retreat. From the first shot to the final surrender, watch as these powerful Western vehicles dominate the battlefield, systematically dismantling the enemy attack through superior firepower and coordinated tactics. The chaotic flight of the attackers says it all.",true,0,https://www.youtube.com/watch?v=sn8gAGD7cYY
V17,"Ukrainians are surrounded, but Bradley has arrived...",https://i.ytimg.com/vi/pBcrD2ASsXs/sddefault.jpg,"Ukrainian troops hold the line after heavy artillery fire. Bradley supports extraction of the wounded, stops the assault, and enables a counterattack. Includes drone footage, trench clearing, mortar fire, Russian infantry movement, and coordinated actions on the ground",true,0,https://www.youtube.com/watch?v=pBcrD2ASsXs
V18,Bradleys and Javelins! Ukrainians Storm Russian Trenches!,https://i.ytimg.com/vi/PhfOWfrLJZc/sddefault.jpg,"👉 Watch incredible combat footage as Ukrainian forces, supported by Bradley IFVs and Javelin anti-tank missiles, storm and capture Russian trenches on the front line. This intense attack shows the determination and skill of Ukraine’s defenders as they push back enemy positions.
💥 Footage includes close combat, armored support, and the moment Russian lines collapse under pressure.",true,0,https://www.youtube.com/watch?v=PhfOWfrLJZc
V19,Russian Black Panther Tanks Attack For The First Time.,https://i.ytimg.com/vi/sDFDNxn2gU0/sddefault.jpg,A drone is shown flying over a field and then dropping an explosive device,true,0,https://www.youtube.com/watch?v=sDFDNxn2gU0
V20,Russian Tanks Try to Break Through a Wall of Drones,https://i.ytimg.com/vi/hc4-jZ9KoH0/sddefault.jpg,The Ukrainian soldier heard heavy equipment approaching and rushed to his post. This short video shows his fast thinking as he immediately used advanced technology to report to command. It's another level of alertness on the front lines. They send a flock of drones into the sky and chase Russian tanks until they are completely destroyed.,true,0,https://www.youtube.com/watch?v=hc4-jZ9KoH0
V21,Russian Attack Convoy Meets Ukrainian Fury,https://i.ytimg.com/vi/FkL-Si3IGYY/sddefault.jpg,"In this dramatic footage from the front lines, Ukrainian forces use FPV drones to destroy a column of Russian troops attempting a daring motorcycle attack. Watch how precision, speed, and technology turn the tide in seconds. Another powerful example of modern warfare in Ukraine.
",true,0,https://www.youtube.com/watch?v=FkL-Si3IGYY
